Name,uniqueStmtSets,setDeviation,pathDeviation_thr0,pathDeviation_thr2,pathDeviation_thr1,pathDeviation_thr3,testResult,uniquePaths
test123(org.apache.commons.math.distribution.RegressionTest0),3.0,0.3288690476190476,1.099836333878887,0.9531914893617022,1.021276595744681,0.9438202247191011,0.5,3.0
test081(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test078(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test111(org.apache.commons.math.distribution.RegressionTest0),3.0,0.3869969040247678,1.4851116625310175,1.2870967741935482,1.3790322580645165,1.2066532258064517,0.8333333333333334,3.0
test019(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test118(org.apache.commons.math.distribution.RegressionTest0),3.0,0.4108796296296296,1.2539912917271407,1.0867924528301887,1.1644204851752022,1.0188679245283019,0.8333333333333334,3.0
test037(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test103(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test169(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test022(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test083(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test088(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test121(org.apache.commons.math.distribution.RegressionTest0),3.0,0.21929824561403508,5.639887244538407,5.250929503535759,5.438462700090607,5.075898520084567,0.8333333333333334,3.0
test125(org.apache.commons.math.distribution.RegressionTest0),3.0,0.43790849673202614,1.0725806451612903,0.9653225806451613,1.0161290322580645,0.957983193277311,0.8333333333333334,3.0
test155(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test073(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test098(org.apache.commons.math.distribution.RegressionTest0),3.0,0.28695652173913044,1.5658163265306122,1.4234693877551021,1.491253644314869,1.3615794143744455,0.8333333333333334,3.0
test131(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test149(org.apache.commons.math.distribution.RegressionTest0),3.0,0.21342456826327794,1.504823151125402,1.4618282039503903,1.4830141199496714,1.4412390743172865,0.8333333333333334,3.0
test020(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test072(org.apache.commons.math.distribution.RegressionTest0),3.0,0.22048611111111113,1.0550900712191034,0.999338668077508,1.0393424582158333,0.9970637722279041,0.8333333333333334,3.0
test126(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test039(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test102(org.apache.commons.math.distribution.RegressionTest0),3.0,0.19576379974326055,10.648716317442075,9.829584293023455,10.222767664744392,9.465525615504067,0.8333333333333334,4.0
test069(org.apache.commons.math.distribution.RegressionTest0),3.0,0.43790849673202614,1.1644204851752022,1.0188679245283019,1.0867924528301887,0.9589345172031075,0.8333333333333334,3.0
test099(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test132(org.apache.commons.math.distribution.RegressionTest0),3.0,0.3140096618357488,1.443609022556391,1.318077803203661,1.3779904306220099,1.2631578947368423,0.8333333333333334,3.0
test075(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test096(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test007(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test12(org.apache.commons.math.distribution.FDistributionImpl_ESTest),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test14(org.apache.commons.math.distribution.FDistributionImpl_ESTest),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test016(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test148(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test043(org.apache.commons.math.distribution.RegressionTest0),3.0,0.3140096618357488,1.3006644518272426,1.1875631951466126,1.2415433403805498,1.1380813953488371,0.8333333333333334,3.0
test076(org.apache.commons.math.distribution.RegressionTest0),3.0,0.22803114571746386,2.5850388143966123,2.240366972477064,2.4003931847968545,2.1003440366972477,0.8333333333333334,3.0
test095(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test161(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test059(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test023(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test082(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test089(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test122(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test158(org.apache.commons.math.distribution.RegressionTest0),3.0,0.2998737373737374,1.7365491651205935,1.3744493392070485,1.620779220779221,1.30090340514246,0.8333333333333334,3.0
test066(org.apache.commons.math.distribution.RegressionTest0),3.0,0.43790849673202614,1.092857142857143,0.9562499999999999,1.02,0.9473684210526315,0.8333333333333334,3.0
test135(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test165(org.apache.commons.math.distribution.RegressionTest0),3.0,0.36574074074074076,1.3959627329192548,1.2745746691871456,1.3325098814229248,1.221467391304348,0.8333333333333334,3.0
test036(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test129(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test109(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test02(org.apache.commons.math.distribution.FDistributionImpl_ESTest),3.0,0.13157894736842105,3.3523809523809525,3.0476190476190474,3.1927437641723353,2.915113871635611,0.5,3.0
test13(org.apache.commons.math.distribution.FDistributionImpl_ESTest),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test092(org.apache.commons.math.distribution.RegressionTest0),3.0,0.22048611111111113,1.0550900712191034,0.999338668077508,1.0393424582158333,0.9970637722279041,0.8333333333333334,3.0
test079(org.apache.commons.math.distribution.RegressionTest0),3.0,0.3467000835421888,1.0595823095823096,0.9712837837837838,1.0135135135135136,0.9650349650349651,0.8333333333333334,3.0
test013(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test046(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test145(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test112(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test119(org.apache.commons.math.distribution.RegressionTest0),3.0,0.2998737373737374,1.443609022556391,1.318077803203661,1.3779904306220099,1.2631578947368423,0.8333333333333334,3.0
test002(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test056(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test137(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test143(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test061(org.apache.commons.math.distribution.RegressionTest0),3.0,0.43790849673202614,1.3790322580645165,1.091157702825889,1.2870967741935482,1.0327868852459017,0.8333333333333334,3.0
test060(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test138(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test003(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test144(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test057(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test139(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test01(org.apache.commons.math.distribution.FDistributionImpl_ESTest),4.0,0.47933201058201064,1.2837493632195618,1.0478170478170477,1.1920529801324502,1.0096153846153846,0.3333333333333333,4.0
test049(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test058(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test001(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test010(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test062(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
